temp,dataset_or_rollup,comparison,metric,n,delta_pct,ci_low,ci_high
0.0,Chat,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),147,10.868331596579917,8.398010967351887,13.501398955331068
0.0,Chat,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),150,29.85456602635923,26.38809868162435,33.38828591129197
0.0,Chat,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),150,29.5112142003922,25.93756286777813,33.04762198119482
0.0,Chat,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),150,43.860337267447406,39.31395946734673,48.71891776285295
0.0,Overall,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),421,4.319192960031049,3.027503559753808,5.669741156236374
0.0,Overall,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),430,23.963429380542543,21.92552529733034,26.0401276149137
0.0,Overall,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),430,23.744672744806316,21.72716311225271,25.815505559523032
0.0,Overall,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),430,29.87030371699766,27.268734908522973,32.52739736625865
0.5,GSM8K,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),49,4.025919670456135,-0.7615766227267118,9.225838913517116
0.5,GSM8K,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),50,22.68978244171278,17.34135446181193,28.376316862024797
0.5,GSM8K,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),50,22.35149473743705,16.635491241842004,28.220243472554564
0.5,GSM8K,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),50,35.24559113043815,29.79099486601331,41.39386084015224
0.5,MATH-500,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),49,1.4583786347256211,-2.21562646215292,5.367288176969209
0.5,MATH-500,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),50,1.3875912112796263,-3.570936872629027,6.369076377172211
0.5,MATH-500,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),50,1.8041674588732182,-3.368246345303716,7.037842987553411
0.5,MATH-500,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),50,6.732979125519534,1.3224041835327105,12.420693411642869
0.5,AIME25,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),29,8.044594753760093,2.411099487923596,14.202436065692737
0.5,AIME25,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),30,-4.415113944315074,-9.058086159613875,0.3058073739711231
0.5,AIME25,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),30,-5.049240434771329,-9.034528905171902,-0.6113603103352849
0.5,AIME25,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),30,2.9612120880543547,-1.7965044192295831,7.893040890296477
0.5,HumanEval,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),49,4.480422725841615,0.23497038225501754,9.031808391830442
0.5,HumanEval,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),50,-10.003346412460468,-13.884554328559274,-6.180341190803251
0.5,HumanEval,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),50,-9.225426838654505,-12.767635299096458,-5.36596620236508
0.5,HumanEval,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),50,2.7020247629094163,-1.686251403820005,7.4719220214445325
0.5,MBPP,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),49,7.862770419902687,2.807920379998108,12.97050993550981
0.5,MBPP,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),50,-0.248077063477381,-4.82705470406497,4.244510278482072
0.5,MBPP,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),50,0.40396472729615773,-4.200555752623803,5.021105096216738
0.5,MBPP,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),50,13.985981196362808,8.400463042903361,19.26553566392315
0.5,LCB,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),49,-1.701063044013429,-6.821760609066874,3.9148371155036887
0.5,LCB,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),50,-11.258060770699474,-16.555860379404276,-5.482048152121688
