temp,dataset,model,harness,method,speedup,tau,tps,n
0.0,mbpp,Qwen3-8B,dominotree,DominoTree (16),5.584497632438896,8.025737537872827,94.48385110653363,50.0
0.0,livecodebench,Qwen3-8B,dominotree,DominoTree (16),6.070438273465322,8.298152647650086,98.86613305114778,50.0
0.0,mt-bench,Qwen3-8B,dominotree,DominoTree (16),4.300608476359754,6.011442462741822,71.12810153563903,100.0
0.0,alpaca,Qwen3-8B,dominotree,DominoTree (16),3.3683851165935597,4.885193959462811,56.43584623771825,50.0
0.5,gsm8k,Qwen3-8B,baseline_ddtree_caddtree,AR,1.0,1.0,15.49282155550288,50.0
0.5,math500,Qwen3-8B,baseline_ddtree_caddtree,AR,1.0,1.0,15.449483090829068,50.0
0.5,aime25,Qwen3-8B,baseline_ddtree_caddtree,AR,1.0,1.0,15.103490589254148,30.0
0.5,humaneval,Qwen3-8B,baseline_ddtree_caddtree,AR,1.0,1.0,15.331979278007937,50.0
0.5,mbpp,Qwen3-8B,baseline_ddtree_caddtree,AR,1.0,1.0,15.387793614861502,50.0
0.5,livecodebench,Qwen3-8B,baseline_ddtree_caddtree,AR,1.0,1.0,15.279368001701972,50.0
0.5,mt-bench,Qwen3-8B,baseline_ddtree_caddtree,AR,1.0,1.0,15.432196941030016,100.0
0.5,alpaca,Qwen3-8B,baseline_ddtree_caddtree,AR,1.0,1.0,15.707060967886315,50.0
0.5,gsm8k,Qwen3-8B,baseline_ddtree_caddtree,DFlash,5.21441824479251,6.311676475277609,80.78605138232889,50.0
0.5,math500,Qwen3-8B,baseline_ddtree_caddtree,DFlash,6.20797082433119,7.463743278724828,95.90994027886491,50.0
0.5,aime25,Qwen3-8B,baseline_ddtree_caddtree,DFlash,5.2066356133102145,6.225662358178847,78.63837198730633,30.0
0.5,humaneval,Qwen3-8B,baseline_ddtree_caddtree,DFlash,5.258632068168719,6.276112844362218,80.62523789983082,50.0
0.5,mbpp,Qwen3-8B,baseline_ddtree_caddtree,DFlash,4.728035199612249,5.68116676554899,72.75402985543379,50.0
0.5,livecodebench,Qwen3-8B,baseline_ddtree_caddtree,DFlash,6.07172782255175,7.279849869931414,92.7721638069408,50.0
0.5,mt-bench,Qwen3-8B,baseline_ddtree_caddtree,DFlash,3.3874670771229343,4.1739596571526665,52.27605906541643,100.0
0.5,alpaca,Qwen3-8B,baseline_ddtree_caddtree,DFlash,2.461415497069944,3.0686802591295277,38.66160327977781,50.0
0.5,gsm8k,Qwen3-8B,baseline_ddtree_caddtree,DDTree@16,5.744317417774325,7.26647671551891,88.9956847117447,50.0
0.5,math500,Qwen3-8B,baseline_ddtree_caddtree,DDTree@16,6.539526270867945,8.2253843235077,101.0323005438068,50.0
0.5,aime25,Qwen3-8B,baseline_ddtree_caddtree,DDTree@16,5.60470388584938,6.951214087468656,84.65059239548228,30.0
0.5,humaneval,Qwen3-8B,baseline_ddtree_caddtree,DDTree@16,5.9965222332121035,7.496959514904022,91.93855461972186,50.0
0.5,mbpp,Qwen3-8B,baseline_ddtree_caddtree,DDTree@16,5.398896509486146,6.72320622680239,83.07710523596897,50.0
