method,ms_draft,ms_build,ms_verify,ms_commit,ms_total,n
Domino-chain,3.5486710810693096,2.763346380709711,19.03581798928564,0.19150147237884138,25.539336923443503,422
DominoTree (16),3.5235076450389724,2.3085293549703936,18.70148930038501,0.7023890823171737,25.235915382711553,422
