temp,dataset,method,ms_draft,ms_build,ms_verify,ms_commit,ms_chain,n
0.0,gsm8k,Domino-chain,3.4767809487655614,0.0,0.0,0.0,20.51347481486058,49
0.0,gsm8k,DominoTree cond@16,3.4916372394407946,3.652437504875348,17.708074988992298,0.6315745082715271,0.0,49
0.0,math500,Domino-chain,3.5048300778670884,0.0,0.0,0.0,21.457574579396447,49
0.0,math500,DominoTree cond@16,3.5166518689785717,3.595201574023687,18.667079354938593,0.7006361718550204,0.0,49
0.0,aime25,Domino-chain,3.6048305840839285,0.0,0.0,0.0,23.894826887768197,29
0.0,aime25,DominoTree cond@16,3.6133355935381988,3.671378623712995,21.036655625821773,0.9464393434666575,0.0,29
0.0,humaneval,Domino-chain,3.50077822227309,0.0,0.0,0.0,21.155732880222608,49
0.0,humaneval,DominoTree cond@16,3.5116666618585968,3.670317442309283,18.309132551131732,0.6440831910001226,0.0,49
0.0,mbpp,Domino-chain,3.4659738476414037,0.0,0.0,0.0,20.333369505465974,49
0.0,mbpp,DominoTree cond@16,3.480939526767351,3.6619359306330144,17.499761270815473,0.613035979318742,0.0,49
0.0,livecodebench,Domino-chain,3.5811984332795874,0.0,0.0,0.0,22.691138353798078,49
0.0,livecodebench,DominoTree cond@16,3.5963609815288144,3.681829300649376,19.89359595643517,0.7973431487611666,0.0,49
0.0,mt-bench,Domino-chain,3.525505627066437,0.0,0.0,0.0,21.827973466646498,99
0.0,mt-bench,DominoTree cond@16,3.5472547667682246,3.684583164450354,19.02494466435674,0.7308054002090986,0.0,99
0.0,alpaca,Domino-chain,3.4663333822604594,0.0,0.0,0.0,20.47037205773544,49
0.0,alpaca,DominoTree cond@16,3.4783307036777766,3.6937843627422247,17.614513246426483,0.601683722154373,0.0,49
0.0,Overall,Domino-chain,3.5127108879390607,0.0,0.0,0.0,21.465357346743502,422
0.0,Overall,DominoTree cond@16,3.5276509863815293,3.666027282025298,18.645611957318476,0.6995875709192427,0.0,422
0.5,gsm8k,Domino-chain,3.485262645588757,0.0,0.0,0.0,20.68543258446532,49
0.5,gsm8k,DominoTree cond@16,3.486558426699942,3.6378256403892006,17.70467649040827,0.7760674053834274,0.0,49
0.5,math500,Domino-chain,3.5134411216906325,0.0,0.0,0.0,21.56295394820207,49
0.5,math500,DominoTree cond@16,3.521640053155068,3.639050603853316,18.651279504709585,0.8506225558295717,0.0,49
0.5,aime25,Domino-chain,3.6168231515185103,0.0,0.0,0.0,23.882333736114607,29
0.5,aime25,DominoTree cond@16,3.635079597567197,3.709564024090656,21.011179192520554,1.0908494029837108,0.0,29
0.5,humaneval,Domino-chain,3.5050027119456297,0.0,0.0,0.0,21.27191968294208,49
0.5,humaneval,DominoTree cond@16,3.515818990450401,3.6770989272774552,18.340073374334555,0.8022016816572564,0.0,49
0.5,mbpp,Domino-chain,3.471456674127808,0.0,0.0,0.0,20.463465752089174,49
0.5,mbpp,DominoTree cond@16,3.4736450369764813,3.626344171656005,17.509087134122588,0.7580086021699529,0.0,49
0.5,livecodebench,Domino-chain,3.589458050164334,0.0,0.0,0.0,22.78415605018458,49
0.5,livecodebench,DominoTree cond@16,3.594489608938456,3.653932366472706,19.77593363503642,0.9382421775189385,0.0,49
0.5,mt-bench,Domino-chain,3.5326650930441525,0.0,0.0,0.0,21.899143652949334,99
0.5,mt-bench,DominoTree cond@16,3.539169838017784,3.6546977169645434,19.04452290843253,0.8796142530909966,0.0,99
0.5,alpaca,Domino-chain,3.474637388404525,0.0,0.0,0.0,20.59372637216389,49
0.5,alpaca,DominoTree cond@16,3.4760524938170767,3.682219982822065,17.641496515216694,0.7531307737029937,0.0,49
0.5,Overall,Domino-chain,3.5202497313023002,0.0,0.0,0.0,21.56711840071473,422
0.5,Overall,DominoTree cond@16,3.5263913464100547,3.657107923244515,18.640371446813965,0.847753152510382,0.0,422
1.0,gsm8k,Domino-chain,3.4809623602006385,0.0,0.0,0.0,20.62547641033328,49
1.0,gsm8k,DominoTree cond@16,3.492858468138635,3.649049889912483,17.730593319025857,0.7288509131926982,0.0,49
1.0,math500,Domino-chain,3.5163857478763036,0.0,0.0,0.0,21.516528098440055,49
1.0,math500,DominoTree cond@16,3.529285893314,3.624901165205847,18.738694828489987,0.8110649810027947,0.0,49
1.0,aime25,Domino-chain,3.616064305591856,0.0,0.0,0.0,24.148098487821006,29
1.0,aime25,DominoTree cond@16,3.6206435179645777,3.6965618779117384,21.184647649070108,1.0499719478909668,0.0,29
1.0,humaneval,Domino-chain,3.5032846713623393,0.0,0.0,0.0,21.241714411713655,49
1.0,humaneval,DominoTree cond@16,3.509460677944293,3.6712042243137755,18.3225729156828,0.7473687071978145,0.0,49
1.0,mbpp,Domino-chain,3.474974251588566,0.0,0.0,0.0,20.421034322967575,49
1.0,mbpp,DominoTree cond@16,3.4840736729045276,3.6658705588017293,17.49845405406919,0.711677132449122,0.0,49
1.0,livecodebench,Domino-chain,3.5810202055972473,0.0,0.0,0.0,22.68387383712056,49
1.0,livecodebench,DominoTree cond@16,3.588899061772289,3.6310600150712915,19.755061142677263,0.8820883484699762,0.0,49
1.0,mt-bench,Domino-chain,3.527854214142662,0.0,0.0,0.0,21.91006288220311,99
1.0,mt-bench,DominoTree cond@16,3.5349082159092506,3.6362149183081294,18.995211921238766,0.8201201953685805,0.0,99
1.0,alpaca,Domino-chain,3.474458646647806,0.0,0.0,0.0,20.578351399615034,49
1.0,alpaca,DominoTree cond@16,3.4699485331158435,3.6264132858299836,17.614202029054667,0.6909303010270452,0.0,49
1.0,Overall,Domino-chain,3.518120000811989,0.0,0.0,0.0,21.553727552166432,422
1.0,Overall,DominoTree cond@16,3.5251335650433138,3.6463081260416246,18.645023929352273,0.7954220962416129,0.0,422
